question_id,discipline,question_type,difficulty_level,question_text,option_A,option_B,option_C,option_D,correct_answer,GPT Response,Gemini Response,Grok Response
Psych_PSY_E_15,Psychology,MCQ,Easy,What does EEG measure?,Blood flow,Brain waves,Hormones,Muscle movement,B,B,B,B
Psych_PSY_M_01,Psychology,MCQ,Medium,What is operant conditioning?,Learning by association,Learning by consequences,Observational learning,Insight learning,B,B,B,B
Psych_PSY_M_02,Psychology,MCQ,Medium,Which theory explains behavior through reinforcement?,Cognitive,Behavioral,Humanistic,Psychodynamic,B,B,B,B
Psych_PSY_M_03,Psychology,MCQ,Medium,What is the function of the hippocampus?,Emotion,Memory formation,Motor control,Speech,B,B,B,B
Psych_PSY_M_04,Psychology,MCQ,Medium,Which memory system stores facts and knowledge?,Episodic,Procedural,Semantic,Sensory,C,C,C,C
Psych_PSY_M_05,Psychology,MCQ,Medium,What does cognitive dissonance describe?,Memory loss,Mental conflict,Learning difficulty,Emotional disorder,B,B,B,B
Psych_PSY_M_06,Psychology,MCQ,Medium,Which test measures personality?,IQ test,Rorschach,Aptitude test,Achievement test,B,B,B,B
Psych_PSY_M_07,Psychology,MCQ,Medium,What is observational learning?,Trial and error,Learning by watching others,Learning by punishment,Learning by insight,B,B,B,B
Psych_PSY_M_08,Psychology,MCQ,Medium,Which part of neuron transmits signals away?,Dendrite,Cell body,Axon,Synapse,C,C,B,C
Psych_PSY_M_09,Psychology,MCQ,Medium,Which schedule produces highest response rate?,Fixed ratio,Variable ratio,Fixed interval,Variable interval,B,B,C,B
Psych_PSY_M_10,Psychology,MCQ,Medium,What is perception?,Sensation only,Interpretation of sensory input,Memory recall,Motor response,B,B,B,B
Psych_PSY_M_11,Psychology,MCQ,Medium,Which approach focuses on free will?,Behaviorism,Humanistic,Biological,Psychoanalytic,B,B,B,B
Psych_PSY_M_12,Psychology,MCQ,Medium,What is short-term memory capacity?,2±1,7±2,10±2,Unlimited,B,B,B,B
Psych_PSY_M_13,Psychology,MCQ,Medium,Which disorder involves excessive anxiety?,Depression,Schizophrenia,Anxiety disorder,Bipolar disorder,C,C,C,C
Psych_PSY_M_14,Psychology,MCQ,Medium,Which psychologist studied child development stages?,Freud,Piaget,Watson,Skinner,B,B,B,B
Psych_PSY_M_15,Psychology,MCQ,Medium,What is intelligence?,Knowledge,Ability to learn and adapt,Memory,Creativity,B,B,B,B
Psych_PSY_M_16,Psychology,MCQ,Medium,Which hormone regulates sleep?,Cortisol,Melatonin,Adrenaline,Oxytocin,B,B,B,B
Psych_PSY_M_17,Psychology,MCQ,Medium,What does placebo effect demonstrate?,Drug action,Expectation influence,Genetic effect,Learning,B,B,B,B
Psych_PSY_M_18,Psychology,MCQ,Medium,Which memory improves with practice?,Episodic,Semantic,Procedural,Sensory,C,C,B,C
Psych_PSY_M_19,Psychology,MCQ,Medium,Which lobe controls decision making?,Temporal,Parietal,Occipital,Frontal,D,D,C,D
Psych_PSY_M_20,Psychology,MCQ,Medium,Which disorder involves hallucinations?,Anxiety,Depression,Schizophrenia,Phobia,C,C,C,C
Psych_PSY_H_01,Psychology,MCQ,Hard,Which theory emphasizes unconscious conflicts?,Behavioral,Humanistic,Psychoanalytic,Cognitive,C,C,C,C
Psych_PSY_H_02,Psychology,MCQ,Hard,What is the main criticism of behaviorism?,Too subjective,Ignores mental processes,Not scientific,Too biological,B,B,B,B
Psych_PSY_H_03,Psychology,MCQ,Hard,Which concept explains learning without reinforcement?,Operant,Classical,Insight,Trial-and-error,C,C,C,C
Psych_PSY_H_04,Psychology,MCQ,Hard,What does the Yerkes-Dodson law describe?,Memory curve,Arousal-performance relation,Learning stages,Motivation types,B,B,B,B
Psych_PSY_H_05,Psychology,MCQ,Hard,Which method studies brain activity in real time?,EEG,CT scan,X-ray,PET,A,A,A,D
Psych_PSY_H_06,Psychology,MCQ,Hard,Which bias affects decision-making under uncertainty?,Confirmation bias,Anchoring bias,Availability heuristic,All of these,D,D,D,D
Psych_PSY_H_07,Psychology,MCQ,Hard,What is theory of mind?,Self-awareness,Understanding others’ mental states,Intelligence,Personality,B,B,B,B
Psych_PSY_H_08,Psychology,MCQ,Hard,Which disorder shows alternating mood states?,Depression,Schizophrenia,Bipolar disorder,Anxiety,C,C,B,C
Psych_PSY_H_09,Psychology,MCQ,Hard,Which neurotransmitter deficiency is linked to depression?,Dopamine,Serotonin,Acetylcholine,GABA,B,B,C,B
Psych_PSY_H_10,Psychology,MCQ,Hard,Which test best measures implicit attitudes?,IQ test,Implicit Association Test,Rorschach,MMPI,B,B,B,B
Psych_PSY_H_11,Psychology,MCQ,Hard,Which model explains memory as levels of processing?,Atkinson-Shiffrin,Baddeley,Craik & Lockhart,Tulving,C,C,A,C
Psych_PSY_H_12,Psychology,MCQ,Hard,What does neuroplasticity refer to?,Brain damage,Brain’s ability to change,Fixed brain structure,Neuron death,B,B,B,B
Psych_PSY_H_13,Psychology,MCQ,Hard,Which concept explains conformity?,Obedience,Groupthink,Social facilitation,Deindividuation,B,B,A,B
Psych_PSY_H_14,Psychology,MCQ,Hard,Which approach integrates biological and cognitive factors?,Behavioral,Biopsychological,Humanistic,Psychoanalytic,B,B,A,B
Psych_PSY_H_15,Psychology,MCQ,Hard,Which factor most influences eyewitness memory errors?,Confidence,Leading questions,Intelligence,Age,B,B,C,B
Eco_ECO_E_01,Economics,MCQ,Easy,What is economics the study of?,Scarcity and choice,Money only,Business,Statistics,A,A,A,A
Eco_ECO_E_02,Economics,MCQ,Easy,Who is known as the father of economics?,Keynes,Adam Smith,Marshall,Ricardo,B,B,A,B
Eco_ECO_E_03,Economics,MCQ,Easy,What does GDP stand for?,Gross Domestic Product,Global Development Product,General Domestic Profit,Gross Demand Price,A,A,B,A
Eco_ECO_E_04,Economics,MCQ,Easy,Which term refers to the satisfaction from consumption?,Utility,Profit,Revenue,Cost,A,A,A,A
Eco_ECO_E_05,Economics,MCQ,Easy,What market has only one seller?,Perfect competition,Monopoly,Oligopoly,Monopsony,B,B,B,B
Eco_ECO_E_06,Economics,MCQ,Easy,What does demand represent?,Willingness to buy,Ability to sell,Production level,Market price,A,A,C,A
Eco_ECO_E_07,Economics,MCQ,Easy,What is inflation?,Rise in prices,Rise in output,Fall in prices,Fall in income,A,A,A,A
Eco_ECO_E_08,Economics,MCQ,Easy,Which factor of production earns wages?,Land,Labor,Capital,Entrepreneur,B,B,C,B
Eco_ECO_E_09,Economics,MCQ,Easy,What does CPI measure?,Production,Income,Cost of living,Profit,C,C,B,C
Eco_ECO_E_10,Economics,MCQ,Easy,Which curve shows relationship between price and demand?,Supply curve,Demand curve,Cost curve,Revenue curve,B,B,C,B
Eco_ECO_E_11,Economics,MCQ,Easy,What is opportunity cost?,Accounting cost,Explicit cost,Next best alternative foregone,Total cost,C,C,B,C
Eco_ECO_E_12,Economics,MCQ,Easy,What type of goods are non-rival and non-excludable?,Private goods,Merit goods,Public goods,Inferior goods,C,C,B,C
Eco_ECO_E_13,Economics,MCQ,Easy,What is microeconomics concerned with?,Entire economy,Individual units,Government policy,International trade,B,B,B,B
Eco_ECO_E_14,Economics,MCQ,Easy,What does elasticity measure?,Responsiveness,Profit,Cost,Supply,A,A,C,A
Eco_ECO_E_15,Economics,MCQ,Easy,What is capital in economics?,Money,Machines and tools,Labor,Land,B,B,C,B
Eco_ECO_M_01,Economics,MCQ,Medium,Law of demand states that:,Price and demand move together,Inverse relation between price and demand,Demand constant,No relation,B,B,C,B
Eco_ECO_M_02,Economics,MCQ,Medium,What causes a rightward shift in demand curve?,Decrease in income,Increase in income,Increase in price,Decrease in population,B,B,B,B
Eco_ECO_M_03,Economics,MCQ,Medium,What is price elasticity of demand?,Change in supply,Responsiveness of demand to price,Market equilibrium,Cost behavior,B,B,B,B
Eco_ECO_M_04,Economics,MCQ,Medium,Which market structure has many sellers and differentiated products?,Perfect competition,Monopoly,Monopolistic competition,Oligopoly,C,C,B,B
Eco_ECO_M_05,Economics,MCQ,Medium,What is marginal cost?,Total cost,Average cost,Cost of producing one more unit,Fixed cost,C,C,B,C
Eco_ECO_M_06,Economics,MCQ,Medium,Which policy is used to control inflation?,Fiscal policy,Monetary policy,Trade policy,Industrial policy,B,B,B,B
Eco_ECO_M_07,Economics,MCQ,Medium,What is equilibrium price?,Highest price,Lowest price,Price where demand equals supply,Government price,C,B,C,C
Eco_ECO_M_08,Economics,MCQ,Medium,Which curve is U-shaped in the short run?,Demand,Supply,Average cost,Marginal revenue,C,C,C,C
Eco_ECO_M_09,Economics,MCQ,Medium,What does comparative advantage explain?,Absolute efficiency,Trade specialization,Production cost,Inflation,B,B,C,B
Eco_ECO_M_10,Economics,MCQ,Medium,Which tax is proportional to income?,Regressive,Progressive,Proportional,Indirect,C,C,B,C
Eco_ECO_M_11,Economics,MCQ,Medium,What is fiscal deficit?,Revenue > expenditure,Expenditure > revenue,Balanced budget,Foreign debt,B,B,B,B
Eco_ECO_M_12,Economics,MCQ,Medium,What does monopoly maximize?,Revenue,Output,Profit,Market share,C,C,B,C
Eco_ECO_M_13,Economics,MCQ,Medium,Which curve shows combinations of goods?,Demand curve,Supply curve,Production possibility curve,Cost curve,C,C,B,B
Eco_ECO_M_14,Economics,MCQ,Medium,What is meant by crowding out?,Private investment decreases due to government spending,Increase in savings,Decrease in taxes,Increase in exports,A,A,B,A
Eco_ECO_M_15,Economics,MCQ,Medium,What is nominal GDP?,GDP adjusted for inflation,GDP at current prices,GDP at base prices,Net GDP,B,A,C,B
Eco_ECO_M_16,Economics,MCQ,Medium,Which factor causes inflation?,Increase in productivity,Decrease in money supply,Demand-pull,Technological progress,C,C,B,C
Eco_ECO_M_17,Economics,MCQ,Medium,What is money supply controlled by?,Government,Central bank,Commercial banks,Consumers,B,B,B,B
Eco_ECO_M_18,Economics,MCQ,Medium,Which cost does not vary with output?,Variable cost,Marginal cost,Fixed cost,Average cost,C,C,C,C
Eco_ECO_M_19,Economics,MCQ,Medium,What does balance of payments record?,Domestic trade,International transactions,Budget,Inflation,B,B,B,B
Eco_ECO_M_20,Economics,MCQ,Medium,Which type of unemployment is seasonal?,Cyclical,Structural,Seasonal,Frictional,C,C,B,C
Eco_ECO_H_01,Economics,MCQ,Hard,Which condition ensures consumer equilibrium?,MUx = MUy,MUx/Px = MUy/Py,Px = Py,Income = expenditure,B,B,A,B
Eco_ECO_H_02,Economics,MCQ,Hard,What happens to demand if income increases for inferior goods?,Increases,Decreases,Remains same,Becomes zero,B,B,C,B
Eco_ECO_H_03,Economics,MCQ,Hard,Which curve is downward sloping due to diminishing marginal returns?,Supply,Demand,Cost,Revenue,A,C,B,C
Eco_ECO_H_04,Economics,MCQ,Hard,What does IS-LM model analyze?,Price determination,Goods and money market equilibrium,Inflation,Trade,B,B,C,B
Eco_ECO_H_05,Economics,MCQ,Hard,Which tax causes deadweight loss?,Lump-sum tax,Indirect tax,Proportional tax,,B,B,B,B
Eco_ECO_H_06,Economics,MCQ,Hard,What is marginal propensity to consume (MPC)?,ΔC/ΔY,ΔY/ΔC,C/Y,Y/C,A,A,B,A
Eco_ECO_H_07,Economics,MCQ,Hard,Which market structure has kinked demand curve?,Perfect competition,Monopoly,Oligopoly,Monopolistic competition,C,C,B,C
Eco_ECO_H_08,Economics,MCQ,Hard,What does Phillips curve show?,Inflation-output relation,Inflation-unemployment tradeoff,Growth-unemployment,Interest-inflation,B,B,A,B
Eco_ECO_H_09,Economics,MCQ,Hard,Which factor determines price elasticity of demand?,Income,Availability of substitutes,Cost,Profit,B,B,B,B
Eco_ECO_H_10,Economics,MCQ,Hard,What is Giffen good?,Luxury good,Inferior good with upward sloping demand,Normal good,Public good,B,B,C,B
Eco_ECO_H_11,Economics,MCQ,Hard,Which policy tool is quantitative?,Repo rate,Open market operations,Moral suasion,Selective credit control,B,B,B,B
Eco_ECO_H_12,Economics,MCQ,Hard,What is real GDP?,GDP at current prices,GDP adjusted for inflation,GDP excluding exports,GDP excluding imports,B,B,B,B
Eco_ECO_H_13,Economics,MCQ,Hard,Which cost curve intersects ATC at its minimum?,AFC,AVC,MC,TC,C,C,C,C
Eco_ECO_H_14,Economics,MCQ,Hard,What does Nash equilibrium represent?,Social optimum,Dominant strategy outcome,Mutual best response,Maximum profit,C,C,C,C
Eco_ECO_H_15,Economics,MCQ,Hard,Which concept explains diminishing returns?,Law of supply,Law of demand,Law of diminishing marginal returns,Law of increasing cost,C,C,C,C
